Arrested Development; 2003-; Comedy; 8.9; Season 1-Episode 22, Season 2-Episode 18, Season 3-Episode 13, Season 4-Episode 22, Season 5-Episode 16
Stranger Things; 2016-; Drama, Fantasy, Horror; 8.9; Season 1-Episode 8, Season 2-Episode 9
Night Court; 1984-1992; Comedy; 7.7; Season 1-Episode 13, Season 2-Episode 22, Season 3-Episode 22, Season 4-Episode 22, Season 5-Episode 22, Season 6-Episode 22, Season 7-Episode 24, Season 8-Episode 24, Season 9-Episode 22
Revenge; 2011-2015; Drama, Mystery, Thriller; 7.9; Season 1-Episode 22, Season 2-Episode 22, Season 3-Episode 22, Season 4-Episode 23
Da Ali G Show; 2003-2004; Comedy, Talk-show; 8.0; Season 1-Episode 6, Season 2-Episode 6, Season 3-Episode 6
Sex & The City; 1998-2004; Comedy, Drama, Romance; 7.1; Season 1-Episode 12, Season 2-Episode 18, Season 3-Episode 18, Season 4-Episode 18, Season 5-Episode 8, Season 6-Episode 20
Tyrant; 2014-2016; Action, Drama, Thriller; 7.8; Season 1-Episode 10, Season 2-Episode 12, Season 3-Episode 10
Billions; 2016-; Drama; 8.4; Season 1-Episode 12, Season 2-Episode 12, Season 3-Episode 12
Shameless; 2011-; Comedy, Drama; 8.7; Season 1-Episode 12, Season 2-Episode 12, Season 3-Episode 12, Season 4-Episode 12, Season 5-Episode 12, Season 6-Episode 12, Season 7-Episode 12, Season 8-Episode 12, Season 9-Episode 7
Smallville; 2001-2011; Adventure, Drama, Romance; 7.5; Season 1-Episode 21, Season 2-Episode 23, Season 3-Episode 22, Season 4-Episode 22, Season 5-Episode 22, Season 6-Episode 22, Season 7-Episode 20, Season 8-Episode 22, Season 9-Episode 21
The Defenders; 2017; Action, Adventure, Crime; 7.5; Season 1-Episode 8
House; 2004-2012; Drama, Mystery; 8.8; Season 1-Episode 22, Season 2-Episode 24, Season 3-Episode 24, Season 4-Episode 16, Season 5-Episode 24, Season 6-Episode 21, Season 7-Episode 23, Season 8-Episode 22
Fear The Walking Dead; 2015-; Drama, Horror, Sci-fi; 7.0; Season 1-Episode 6, Season 2-Episode 15, Season 3-Episode 16, Season 4-Episode 16
True Blood; 2008-2014; Drama, Fantasy, Mystery; 7.9; Season 1-Episode 12, Season 2-Episode 12, Season 3-Episode 12, Season 4-Episode 12, Season 5-Episode 12, Season 6-Episode 10, Season 7-Episode 10
GLOW; 2017-; Comedy, Drama, Sport; 8.2; Season 1-Episode 10, Season 2-Episode 10
Doctor Thorne; 2016; Drama; 7.3; Season 1-Episode 3
The Civil War; 1990; Documentary, History, War; 9.1; Season 1-Episode 9
Person Of Interest; 2011-2016; Action, Crime, Drama; 8.4; Season 1-Episode 23, Season 2-Episode 22, Season 3-Episode 23, Season 4-Episode 22, Season 5-Episode 13
Californication; 2007-2014; Comedy, Drama; 8.3; Season 1-Episode 12, Season 2-Episode 12, Season 3-Episode 12, Season 4-Episode 12, Season 5-Episode 12, Season 6-Episode 12, Season 7-Episode 12
Three's Company; 1976-1984; Comedy; 7.6; Season 1-Episode 6, Season 2-Episode 25, Season 3-Episode 22, Season 4-Episode 25, Season 5-Episode 22, Season 6-Episode 28, Season 7-Episode 22, Season 8-Episode 22
Dexter; 2006-2013; Crime, Drama, Mystery; 8.7; Season 1-Episode 12, Season 2-Episode 12, Season 3-Episode 12, Season 4-Episode 12, Season 5-Episode 12, Season 6-Episode 12, Season 7-Episode 12, Season 8-Episode 12
